titulo;descripcion;categoria;latitud;longitud;fecha_hecho
40906-Accidente de tránsito con víctima fatal;En Lago Argentino, Santa Cruz, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-50.336277259205;-72.274343605281;21/1/2023 09:27:00
40909-Accidente de tránsito con víctima fatal;En Confluencia, Neuquén, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 25-29 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-38.941200792764;-69.145316150753;16/1/2023 14:25:00
40910-Accidente de tránsito con víctima fatal;En Picún Leufú, Neuquén, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 50-54 años de edad, que se movilizaba en un/una Bicicleta.;Accidente de tránsito;-39.5185701;-69.2911483;8/1/2023 00:50:00
40912-Accidente de tránsito con víctima fatal;En Picún Leufú, Neuquén, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 45-49 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-39.502102631401;-69.287054848033;20/1/2023 11:30:00
40916-Accidente de tránsito con víctima fatal;En Iguazú, Misiones, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 35-39 años de edad, que se movilizaba en un camión.;Accidente de tránsito;-25.686648554999;-54.51206445543;23/1/2023 14:40:00
40917-Accidente de tránsito con víctima fatal;En Pirané, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-25.734190660682;-59.10869518299;1/1/2023 18:00:00
40919-Accidente de tránsito con víctima fatal;En Patiño, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 60-64 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-24.8952573;-60.3167398;8/1/2023 18:45:00
40921-Accidente de tránsito con víctima fatal;En Formosa, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 70-74 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-26.181669048715;-58.191628935373;11/1/2023 12:55:00
40922-Accidente de tránsito con víctima fatal;En Formosa, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 25-29 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-25.6702892;-58.2605442;15/1/2023 15:40:00
40927-Accidente de tránsito con víctima fatal;En Pilcomayo, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 35-39 años de edad.;Accidente de tránsito;-25.3713861;-57.6518162;20/1/2023 21:45:00
40928-Accidente de tránsito con víctima fatal;En Patiño, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 40-44 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-25.406301;-59.569242;29/1/2023 22:40:00
40934-Accidente de tránsito con víctima fatal;En Guaraní, Misiones, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 25-29 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-27.2941878;-54.2053282;15/1/2023 08:30:00
40935-Accidente de tránsito con víctima fatal;En Guaraní, Misiones, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 25-29 años de edad, que se movilizaba en una camioneta.;Accidente de tránsito;-26.9926016;-54.4904196;29/1/2023 11:30:00
40968-Accidente de tránsito con víctima fatal;En Leandro N. Alem, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 15-19 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-27.645929425112;-55.555525898652;26/1/2023 00:50:00
41050-Accidente de tránsito con víctima fatal;En Confluencia, Neuquén, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 30-34 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-38.935822993021;-68.121542040315;3/2/2023 07:15:00
41051-Accidente de tránsito con víctima fatal;En Confluencia, Neuquén, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue una mujer de entre 20-24 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-38.942556728128;-68.111842713519;6/2/2023 17:47:00
41075-Accidente de tránsito con víctima fatal;En Lago Argentino, Santa Cruz, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-49.595095086654;-71.428058087559;8/1/2023 04:20:00
41078-Accidente de tránsito con víctima fatal;En Capital, Catamarca, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 50-54 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-28.538037;-65.8022315;6/1/2023 23:20:00
41110-Accidente de tránsito con víctima fatal;En Santa Rosa, Catamarca, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 25-29 años de edad.;Accidente de tránsito;-28.082039135288;-65.334897531567;25/2/2023 03:30:00
41113-Accidente de tránsito con víctima fatal;En Valle Viejo, Catamarca, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 20-24 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-28.46265;-65.72585;10/1/2023 22:30:00
41115-Accidente de tránsito con víctima fatal;En Fray Mamerto Esquiú, Catamarca, ocurrió un hecho vial de tipo 'Colisión vehículo-objeto' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 20-24 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-28.2805257;-65.7320143;1/1/2023 09:30:00
41204-Accidente de tránsito con víctima fatal;En Islas del Ibicuy, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 15-19 años de edad, que se movilizaba en un/una Bicicleta.;Accidente de tránsito;-33.498147905229;-58.824117457695;18/1/2023 02:15:00
41205-Accidente de tránsito con víctima fatal;En Paraná, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 55-59 años de edad.;Accidente de tránsito;-31.765316896311;-60.437117719528;6/1/2023 04:45:00
41206-Accidente de tránsito con víctima fatal;En La Paz, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 50-54 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.34878438189;-59.359692006495;9/1/2023 22:20:00
41207-Accidente de tránsito con víctima fatal;En Federación, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 75-79 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-30.7956419;-57.9123798;12/1/2023 11:07:00
41208-Accidente de tránsito con víctima fatal;En Paraná, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-31.573276193184;-59.912662252546;26/1/2023 15:50:00
41211-Accidente de tránsito con víctima fatal;En Federación, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 10-14 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-30.82218164879;-58.045209051488;8/1/2023 11:45:00
41212-Accidente de tránsito con víctima fatal;En Tala, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-32.072476359672;-59.260245687246;19/1/2023 16:30:00
41214-Accidente de tránsito con víctima fatal;En Concordia, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 30-34 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.37438911543;-58.016355614185;31/1/2023 21:30:00
41215-Accidente de tránsito con víctima fatal;En La Paz, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 55-59 años de edad, que se movilizaba en una camioneta.;Accidente de tránsito;-31.033965991543;-59.662172676615;17/1/2023 17:10:00
41218-Accidente de tránsito con víctima fatal;En Paraná, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 80-84 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-31.578368219351;-59.881981098969;25/1/2023 12:00:00
41219-Accidente de tránsito con víctima fatal;En Diamante, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 20-24 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-32.056342646879;-60.391382777371;14/1/2023 07:25:00
