titulo;descripcion;categoria;latitud;longitud;fecha_hecho
Centro clandestino de detención 1-OLIMPO;Centro Clandestino de Detención (CCD) 'OLIMPO', que funcionó en un predio de 'POLICÍA FEDERAL'. Ubicación: RAMÓN FALCÓN 4151 · Vélez Sarsfield · CAPITAL FEDERAL DIVISIÓN AUTOMOTORES DE LA POLICÍA FEDERAL. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.612964;-58.3877888;24/03/1976 00:00:00
Centro clandestino de detención 2-LA PERLA;Centro Clandestino de Detención (CCD) 'LA PERLA', que funcionó en un predio de 'EJÉRCITO'. Ubicación: Ruta Nac. Nº 20 Km 12 · MALAGUEÑO · SANTA MARÍA · CÓRDOBA EX DEPCIAS. DEL ARMA BRIGADA DE CABALLERÍA AEROTRANSPORTADA (CUERPO DE EJÉRCITO III). Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-31.4609319;-64.3517688;24/03/1976 00:00:00
Centro clandestino de detención 3-ESCUELA DE MECÁNICA DE LA ARMADA (ESMA) UNIDAD DE COMANDO ÁREA IIIA;Centro Clandestino de Detención (CCD) 'ESCUELA DE MECÁNICA DE LA ARMADA (ESMA) UNIDAD DE COMANDO ÁREA IIIA', que funcionó en un predio de 'ARMADA'. Ubicación: Av. DEL LIBERTADOR 8151 · Núñez · CAPITAL FEDERAL. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.5399874;-58.4640528;24/03/1976 00:00:00
Centro clandestino de detención 4-UNIDAD PENAL DE VILLA LAS ROSAS;Centro Clandestino de Detención (CCD) 'UNIDAD PENAL DE VILLA LAS ROSAS', que funcionó en un predio de 'SERVICIO PENITENCIARIO PROVINCIAL'. Ubicación: Av. HIPÓLITO YRIGOYEN 841 · Villa las Rosas · SALTA · CAPITAL · SALTA. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-24.8072885;-65.3965808;24/03/1976 00:00:00
Centro clandestino de detención 5-EL BANCO;"Centro Clandestino de Detención (CCD) 'EL BANCO', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: Autopista RICCHIERI (a 400 m de Camino de Cintura) · CIUDAD EVITA · LA MATANZA · BUENOS AIRES DIVISIÓN CUATRERISMO (AGRUPACIÓN ""GÜEMES""). Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-34.7758363;-58.284482;24/03/1976 00:00:00
Centro clandestino de detención 6-COMPAÑÍA DE COMUNICACIONES DE MONTAÑA 8 / CDO. DE BRIGADA DE INFANTERÍA DE MONTAÑA VIII UNIDAD DE COMANDO DE SUBZONA 33;Centro Clandestino de Detención (CCD) 'COMPAÑÍA DE COMUNICACIONES DE MONTAÑA 8 / CDO. DE BRIGADA DE INFANTERÍA DE MONTAÑA VIII UNIDAD DE COMANDO DE SUBZONA 33', que funcionó en un predio de 'EJÉRCITO'. Ubicación: BOULOGNE SUR MER y JOAQUÍN V. GONZÁLEZ · MENDOZA · CAPITAL · MENDOZA. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-32.8811119;-68.8601399;24/03/1976 00:00:00
Centro clandestino de detención 7-UNIDAD PENAL DE CORONDA;Centro Clandestino de Detención (CCD) 'UNIDAD PENAL DE CORONDA', que funcionó en un predio de 'SERVICIO PENITENCIARIO PROVINCIAL'. Ubicación: CORONDA · SAN JERÓNIMO · SANTA FE. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-31.9734931;-60.920606;24/03/1976 00:00:00
Centro clandestino de detención 8-COMISARÍA 14ª DE ROSARIO;Centro Clandestino de Detención (CCD) 'COMISARÍA 14ª DE ROSARIO', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: MARCOS PAZ 6650 (o HUMBERTO PRIMO 1782) · ROSARIO · SANTA FE. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-32.9389649;-60.711875;24/03/1976 00:00:00
Centro clandestino de detención 9-DIVISIÓN CUATRERISMO (DESTACAMENTO DE ARANA);Centro Clandestino de Detención (CCD) 'DIVISIÓN CUATRERISMO (DESTACAMENTO DE ARANA)', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: Calle 640 y 131 · ARANA · LA PLATA · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.9546392;-57.8411844;24/03/1976 00:00:00
Centro clandestino de detención 10-BRIGADA DE INVESTIGACIONES DE LANÚS / EL INFIERNO;Centro Clandestino de Detención (CCD) 'BRIGADA DE INVESTIGACIONES DE LANÚS / EL INFIERNO', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: 12 DE OCTUBRE 234 · AVELLANEDA · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6624321;-58.3588679;24/03/1976 00:00:00
Centro clandestino de detención 13-BRIGADA DE INVESTIGACIONES DE LA POLICÍA DE SANTA FE / SERVICIO DE INFORMACIONES (D-2);Centro Clandestino de Detención (CCD) 'BRIGADA DE INVESTIGACIONES DE LA POLICÍA DE SANTA FE / SERVICIO DE INFORMACIONES (D-2)', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: OBISPO GELABERT esq. SAN MARTÍN · SANTA FE · LA CAPITAL · SANTA FE. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-31.6368009;-60.7035927;24/03/1976 00:00:00
